cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,axis_expansion_factor,line_segment
1,compound,2.156,-0.0869837079914774,-0.129930621700788,-0.0440367942821667,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.184,-0.0878875166462126,-0.1312751597693592,-0.044499873523066,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.212,-0.0887825827245372,-0.1326064288709521,-0.0449587365781224,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.24,-0.0896687941421382,-0.1339242591464407,-0.0454133291378358,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.268,-0.0905460388147026,-0.1352284807495141,-0.0458635968798911,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.2960000000000003,-0.0914142046579175,-0.1365189238470763,-0.0463094854687587,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.324,-0.0922731795874699,-0.137795418619659,-0.0467509405552808,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.352,-0.0931228515190468,-0.1390577952618499,-0.0471879077762438,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.38,-0.0939631083683354,-0.1403058839827347,-0.0476203327539361,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.408,-0.0947938380510226,-0.1415395150063556,-0.0480481610956897,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.436,-0.0956149284827955,-0.1427585185721856,-0.0484713383934054,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.464,-0.0964262675793411,-0.1439627249356198,-0.0488898102230624,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.492,-0.0972277432563465,-0.1451519643684845,-0.0493035221442085,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
