"cluster","heatwave_type","exposure","log_rr","ci_low","ci_high"
"3","compound","8.06639625","-0.17877473955144463","-0.4745870397702895","0.11703756066740023"
"3","compound","8.147875","-0.1800481654992311","-0.47229775952225517","0.11220142852379292"
"3","compound","8.22935375","-0.1812992951780199","-0.4699747303611391","0.10737614000509932"
"3","compound","8.3108325","-0.18252774236474564","-0.46762513319844945","0.10256964846895819"
"3","compound","8.39231125","-0.1837331208363429","-0.465255830157281","0.09778958848459518"
"3","compound","8.47379","-0.1849150443697463","-0.46287336397757595","0.0930432752380834"
"3","compound","8.55526875","-0.18607312674189044","-0.4604839591641301","0.08833770568034918"
"3","compound","8.6367475","-0.1872069817297098","-0.4580935247532227","0.0836795612938031"
"3","compound","8.71822625","-0.18831622311013907","-0.45570765857476714","0.079075212354489"
"3","compound","8.799705","-0.18940046466011273","-0.4533316528889343","0.07453072356870882"
"3","compound","8.88118375","-0.19045932015656547","-0.45097050127916216","0.07005186096603122"
"3","compound","8.9626625","-0.19149240337643186","-0.44862890668724215","0.06564409993437842"
"3","compound","9.04414125","-0.1924993280966464","-0.44631129048065654","0.06131263428736375"
"3","compound","9.12562","-0.19347970809414378","-0.4440218024474393","0.05706238625915172"
"3","compound","9.20709875","-0.19443315714585857","-0.44176433161944983","0.05289801732773272"
"3","compound","9.2885775","-0.1953592890287253","-0.4395425178310117","0.04882393977356117"
"3","compound","9.37005625","-0.19625771751967855","-0.43735976392628273","0.04484432888692563"
"3","compound","9.451535","-0.19712805639565295","-0.43521924853543337","0.04096313574412744"
"3","compound","9.53301375","-0.19796991943358308","-0.43312393934664245","0.03718410047947629"
"3","compound","9.6144925","-0.19878292041040355","-0.4310766068080305","0.03351076598722341"
"3","compound","9.69597125","-0.19956667310304885","-0.4290798382008716","0.029946491994773866"
"3","compound","9.77745","-0.20032079128845365","-0.4271360520327437","0.02649446945583639"
"3","compound","9.85892875","-0.2010448887435525","-0.425247512706631","0.02315773521952602"
"3","compound","9.9404075","-0.20173857924528002","-0.4234163454293805","0.019939186938820463"
"3","compound","10.02188625","-0.20240147657057075","-0.42164455133029666","0.01684159818915515"
"3","compound","10.103365","-0.20303319449635931","-0.4199340227680554","0.013867633775336785"
"3","compound","10.18484375","-0.20363334679958028","-0.41828655881147647","0.011019865212315877"
"3","compound","10.2663225","-0.20420154725716824","-0.41670388088707716","0.008300786372740676"
"3","compound","10.34780125","-0.20473740964605772","-0.4151876485936975","0.005712829301582095"
"3","compound","10.37931","-0.20493588052242245","-0.414619465838481","0.0047477047936361205"
"3","compound","10.42928","-0.20524057381448096","-0.4137393023157038","0.0032581546867418987"
"3","compound","10.51075875","-0.20571104989952177","-0.41235782254640097","0.0009357227473573981"
"3","compound","10.5922375","-0.20614912328118484","-0.4110404836815246","-0.0012577628808450592"
"3","compound","10.67371625","-0.20655508587571678","-0.4097846745492325","-0.0033254972022010443"
"3","compound","10.755195","-0.20692922959936433","-0.4085879344946015","-0.005270524704127116"
"3","compound","10.83667375","-0.20727184636837406","-0.40744794598457196","-0.007095746752176169"
"3","compound","10.9181525","-0.20758322809899257","-0.4063625276393823","-0.00880392855860282"
"3","compound","10.99963125","-0.20786366670746662","-0.4053296276639165","-0.010397705751016728"
"3","compound","11.08111","-0.20811345411004284","-0.4043473176541471","-0.01187959056593857"
"3","compound","11.16258875","-0.20833288222296775","-0.40341378675548967","-0.013251977690445838"
"3","compound","11.2440675","-0.2085222429624882","-0.40252733615140734","-0.014517149773569049"
"3","compound","11.32554625","-0.20868182824485063","-0.40168637386201145","-0.015677282627689804"
"3","compound","11.407025","-0.20881192998630183","-0.40088940983371746","-0.016734450138886164"
"3","compound","11.48850375","-0.20891284010308833","-0.4001350513022319","-0.01769062890394471"
"3","compound","11.5699825","-0.20898485051145693","-0.3994219984122828","-0.018547702610631045"
"3","compound","11.65146125","-0.20902825312765416","-0.39874904007855594","-0.019307466176752386"
"3","compound","11.73294","-0.20904333986792667","-0.3981150500732815","-0.01997162966257182"
"3","compound","11.81441875","-0.20903040264852116","-0.39751898332682845","-0.02054182197021384"
"3","compound","11.8958975","-0.20898973338568425","-0.3969598724285097","-0.021019594342858744"
